Year,Month,Month_Name,Monthly_Revenue,Monthly_Orders,Monthly_Customers
2019,1,Jan,463883.05705,2102,215
2019,2,Feb,327896.5602,1664,109
2019,3,Mar,336805.20383,1991,208
2019,4,Apr,447999.19523,1813,224
2019,5,May,318556.30056,2034,200
2019,6,Jun,289830.32931,1940,259
2019,7,Jul,423982.34361000004,2080,236
2019,8,Aug,418160.56704000005,2414,300
2019,9,Sep,321128.35638,1932,193
2019,10,Oct,450837.46255000005,2125,210
2019,11,Nov,475902.15336000005,2282,188
2019,12,Dec,439530.03015,2684,236
